Fund,Oper Unit,Dept,Agency,Agency Name,Account,Character Class,Class Description,Descr,Sum Transaction Amt,Ledger,Operating or Non,Year
250,0460,2500110,250,Information Technology,52280001,52,Professional Services,CHARGEBACK-ADMIN SRVCS,"1,476,555.00",ACTUALS,,"2,015"
250,0460,2501203,250,Information Technology,51010013,51,Personnel Services,SICK LEAVE,"17,949.12",ACTUALS,,"2,015"
001,0001,3500209,350,General Services,51010013,51,Personnel Services,SICK LEAVE,84.39,ACTUALS,,"2,015"
511,0800,5112201,511,Airport,51010010,51,Personnel Services,ACCRUED LEAVE PAYOUT,"16,404.20",ACTUALS,,"2,015"
250,0460,2501304,250,Information Technology,53010007,53,Materials and Supplies,COMPUTER SUPPLIES,"14,428.14",ACTUALS,,"2,015"
001,0001,3500110,350,General Services,51010013,51,Personnel Services,SICK LEAVE,"9,433.51",ACTUALS,,"2,015"
511,0800,5112302,511,Airport,51010010,51,Personnel Services,ACCRUED LEAVE PAYOUT,"2,822.39",ACTUALS,,"2,015"
716,1780,0400406,040,City Manager,51070002,51,Personnel Services,HMO ADMIN,109.27,ACTUALS,,"2,015"
001,0001,4200841,420,Police,52340019,52,Professional Services,BUILDING MAINTENANCE,"15,845.80",ACTUALS,,"2,015"
001,0001,3500110,350,General Services,51010001,51,Personnel Services,SALARIES AND WAGES,"197,337.41",ACTUALS,,"2,015"
001,0001,0700703,070,Municipal Counselor,51010019,51,Personnel Services,EMPLOYEE INCENTIVE,"10,521.27",ACTUALS,,"2,015"
001,0001,9800001,980,Non Departmental,53890022,53,Materials and Supplies,OTHER SUPPLIES,659.63,ACTUALS,,"2,015"
001,0001,2800501,280,Finance,52130001,52,Professional Services,MEMBERSHIPS,890.00,ACTUALS,,"2,015"
043,0450,0400303,040,City Manager,51010007,51,Personnel Services,OVERTIME WAGES,6.33,ACTUALS,,"2,015"
001,0001,4500205,450,Fire,51070001,51,Personnel Services,HEALTH AND WELFARE INSURANCE,1.72,ACTUALS,,"2,015"
003,2060,3305202,330,Public Works,52044007,52,Professional Services,NON-CAPITAL CONSTRUCTION,22.54,ACTUALS,,"2,015"
020,0100,4200106,420,Police,51070001,51,Personnel Services,HEALTH AND WELFARE INSURANCE,"19,772.95",ACTUALS,,"2,015"
399,3001,3990504,399,Utilities,52400007,52,Professional Services,OTHER EQUIPMENT RENTAL,461.05,ACTUALS,,"2,015"
001,0001,4200623,420,Police,53040019,53,Materials and Supplies,NONTARGET REPAIR PARTS,"5,296.04",ACTUALS,,"2,015"
001,0001,3300302,330,Public Works,52070022,52,Professional Services,PROPANE,109.97,ACTUALS,,"2,015"
003,2080,3305301,330,Public Works,54040007,54,Capital Purchase,CONSTRUCTION IN PROGRESS,"75,464.09",ACTUALS,,"2,015"
030,0150,4500201,450,Fire,51510035,51,Personnel Services,WAGE ADJUSTMENT-SALARY REIMB,"1,134,107.85",ACTUALS,,"2,015"
001,0001,5500207,550,Parks,53010007,53,Materials and Supplies,COMPUTER SUPPLIES,77.40,ACTUALS,,"2,015"
021,0250,9804500,980,Non Departmental,55070001,55,Debt Service,INTEREST      -GO,"27,915,539.42",ACTUALS,,"2,015"
399,3001,3990507,399,Utilities,51010010,51,Personnel Services,ACCRUED LEAVE PAYOUT,"16,207.12",ACTUALS,,"2,015"
019,6140,2408030,240,Planning,51070001,51,Personnel Services,HEALTH AND WELFARE INSURANCE,"40,802.60",ACTUALS,,"2,015"
039,0175,2503900,250,Information Technology,52010061,52,Professional Services,ITC MISCELLANEOUS,"32,971.87",ACTUALS,,"2,015"
330,0075,3300303,330,Public Works,52280022,52,Professional Services,CHARGEBACK FUEL,"256,269.66",ACTUALS,,"2,015"
001,0001,3100201,310,City Auditor,52890001,52,Professional Services,OTHER SERVICES AND CHARGES,"2,482.13",ACTUALS,,"2,015"
330,0075,3301111,330,Public Works,53890022,53,Materials and Supplies,OTHER SUPPLIES,725.00,ACTUALS,,"2,015"
003,2157,3305417,330,Public Works,54040025,54,Capital Purchase,ADMIN PAYMENTS TO PUB WORKS,232.29,ACTUALS,,"2,015"
370,0480,3990704,399,Utilities,51070004,51,Personnel Services,RETIREMENT PENSION CONTRIB,"24,918.78",ACTUALS,,"2,015"
019,6998,2409906,240,Planning,52890001,52,Professional Services,OTHER SERVICES AND CHARGES,"161,500.00",ACTUALS,,"2,015"
001,0001,4500110,450,Fire,53010007,53,Materials and Supplies,COMPUTER SUPPLIES,"14,713.94",ACTUALS,,"2,015"
020,0100,4200732,420,Police,51070004,51,Personnel Services,RETIREMENT PENSION CONTRIB,"57,101.49",ACTUALS,,"2,015"
017,0501,1000602,100,Municipal Court,52890001,52,Professional Services,OTHER SERVICES AND CHARGES,"1,776.00",ACTUALS,,"2,015"
019,6970,4509000,450,Fire,51010001,51,Personnel Services,SALARIES AND WAGES,0.00,ACTUALS,,"2,015"
330,0075,3300110,330,Public Works,51010016,51,Personnel Services,VACATION,"8,286.06",ACTUALS,,"2,015"
511,0800,5112301,511,Airport,51070003,51,Personnel Services,INDEMNITY ADMIN,156.48,ACTUALS,,"2,015"
285,0465,2800701,280,Finance,51070001,51,Personnel Services,HEALTH AND WELFARE INSURANCE,"134,893.32",ACTUALS,,"2,015"
001,0001,1000605,100,Municipal Court,53010001,53,Materials and Supplies,OFFICE SUPPLIES,"2,686.15",ACTUALS,,"2,015"
001,0001,3500101,350,General Services,52280022,52,Professional Services,CHARGEBACK FUEL,446.66,ACTUALS,,"2,015"
001,0001,5800110,580,Development Services,51010013,51,Personnel Services,SICK LEAVE,"5,315.09",ACTUALS,,"2,015"
001,0001,5800503,580,Development Services,53040013,53,Materials and Supplies,REPAIR & MAINTENANCE PARTS,989.00,ACTUALS,,"2,015"
399,3001,3990203,399,Utilities,51510004,51,Personnel Services,EMPLOYEE PARKING,364.58,ACTUALS,,"2,015"
001,0001,5500517,550,Parks,51130004,51,Personnel Services,CAR ALLOWANCE,"1,339.28",ACTUALS,,"2,015"
001,0001,5500311,550,Parks,51070001,51,Personnel Services,HEALTH AND WELFARE INSURANCE,"120,728.52",ACTUALS,,"2,015"
001,0001,2800504,280,Finance,53010001,53,Materials and Supplies,OFFICE SUPPLIES,"16,461.86",ACTUALS,,"2,015"
001,0001,4200110,420,Police,51010010,51,Personnel Services,ACCRUED LEAVE PAYOUT,"21,364.08",ACTUALS,,"2,015"
399,3501,3990110,399,Utilities,53160004,53,Materials and Supplies,UNIFORMS & EQUIPMENT,318.44,ACTUALS,,"2,015"
001,0001,1000301,100,Municipal Court,51010007,51,Personnel Services,OVERTIME WAGES,0.45,ACTUALS,,"2,015"
250,0460,2501302,250,Information Technology,53010009,53,Materials and Supplies,COMMUNICATIONS EQUIP AND SUPP,"18,912.17",ACTUALS,,"2,015"
511,0800,5112401,511,Airport,53890004,53,Materials and Supplies,CLOTHING & OTHER,"4,624.94",ACTUALS,,"2,015"
019,6140,2408030,240,Planning,52550533,52,Professional Services,THE HOMELESS ALLIANCE,"562,121.00",ACTUALS,,"2,015"
399,3501,3990110,399,Utilities,51070001,51,Personnel Services,HEALTH AND WELFARE INSURANCE,"225,188.45",ACTUALS,,"2,015"
020,0101,4205500,420,Police,52340019,52,Professional Services,BUILDING MAINTENANCE,"34,805.80",ACTUALS,,"2,015"
001,0001,4500204,450,Fire,52280019,52,Professional Services,CHARGEBACK-VEHICLE MAINTENANCE,"15,961.00",ACTUALS,,"2,015"
330,0075,3301110,330,Public Works,51010010,51,Personnel Services,ACCRUED LEAVE PAYOUT,"9,112.26",ACTUALS,,"2,015"
001,0001,4500301,450,Fire,52370002,52,Professional Services,EMPLOYEE TRAVEL REIMBURSEMENT,"1,491.08",ACTUALS,,"2,015"
001,0001,4200624,420,Police,51010007,51,Personnel Services,OVERTIME WAGES,"44,290.67",ACTUALS,,"2,015"
001,0001,4500402,450,Fire,51510004,51,Personnel Services,EMPLOYEE PARKING,482.87,ACTUALS,,"2,015"
250,0460,2501303,250,Information Technology,52010029,52,Professional Services,MISCELLANEOUS,33.00,ACTUALS,,"2,015"
716,1780,0400406,040,City Manager,52280001,52,Professional Services,CHARGEBACK-ADMIN SRVCS,"567,819.00",ACTUALS,,"2,015"
019,6700,3303500,330,Public Works,54010001,54,Capital Purchase,LAND,"4,573,275.54",ACTUALS,,"2,015"
001,0001,1900101,190,City Clerk,51130004,51,Personnel Services,CAR ALLOWANCE,531.78,ACTUALS,,"2,015"
399,3501,3990604,399,Utilities,53130013,53,Materials and Supplies,CHEMICALS,"6,508.20",ACTUALS,,"2,015"
019,6998,0400204,040,City Manager,52040046,52,Professional Services,PROFESSIONAL SERVICES-OTHER,300.00,ACTUALS,,"2,015"
003,2010,3305302,330,Public Works,52044007,52,Professional Services,NON-CAPITAL CONSTRUCTION,"6,733.89",ACTUALS,,"2,015"
399,3501,3990304,399,Utilities,51010007,51,Personnel Services,OVERTIME WAGES,699.29,ACTUALS,,"2,015"
065,5150,5200101,520,Public Transportation,51010016,51,Personnel Services,VACATION,"16,328.49",ACTUALS,,"2,015"
399,3001,3990505,399,Utilities,53040001,53,Materials and Supplies,JANITOR SUPPLIES,"4,133.35",ACTUALS,,"2,015"
001,0001,9800003,980,Non Departmental,59010010,59,Transfers,TRANSFER TO OCPPA,"5,965,253.00",ACTUALS,,"2,015"
001,0001,5800403,580,Development Services,51010013,51,Personnel Services,SICK LEAVE,"4,372.23",ACTUALS,,"2,015"
001,0001,0700402,070,Municipal Counselor,51070003,51,Personnel Services,INDEMNITY ADMIN,124.10,ACTUALS,,"2,015"
001,0001,3300301,330,Public Works,53040035,53,Materials and Supplies,SNOW AND ICE CONTROL MATERIALS,"881,198.36",ACTUALS,,"2,015"
001,0001,2800402,280,Finance,51070001,51,Personnel Services,HEALTH AND WELFARE INSURANCE,"144,368.63",ACTUALS,,"2,015"
001,0001,1600201,160,Personnel,51070002,51,Personnel Services,HMO ADMIN,21.63,ACTUALS,,"2,015"
001,0001,4200105,420,Police,51010019,51,Personnel Services,EMPLOYEE INCENTIVE,"5,200.89",ACTUALS,,"2,015"
399,3501,3990204,399,Utilities,53890022,53,Materials and Supplies,OTHER SUPPLIES,729.94,ACTUALS,,"2,015"
001,0001,4500302,450,Fire,51010007,51,Personnel Services,OVERTIME WAGES,"18,966.89",ACTUALS,,"2,015"
001,0001,2800501,280,Finance,51070002,51,Personnel Services,HMO ADMIN,166.72,ACTUALS,,"2,015"
399,3001,3990202,399,Utilities,51010016,51,Personnel Services,VACATION,"104,873.87",ACTUALS,,"2,015"
001,0001,3300902,330,Public Works,53010007,53,Materials and Supplies,COMPUTER SUPPLIES,462.00,ACTUALS,,"2,015"
001,0001,5800401,580,Development Services,51010013,51,Personnel Services,SICK LEAVE,"26,011.58",ACTUALS,,"2,015"
001,0001,3300803,330,Public Works,51040001,51,Personnel Services,EMPLOYER'S FICA EXPENSE,"55,612.23",ACTUALS,,"2,015"
399,3501,3990110,399,Utilities,52130001,52,Professional Services,MEMBERSHIPS,"6,270.17",ACTUALS,,"2,015"
350,0455,3500315,350,General Services,52340019,52,Professional Services,BUILDING MAINTENANCE,"4,375.00",ACTUALS,,"2,015"
001,0001,5800402,580,Development Services,51010004,51,Personnel Services,PART TIME & TEMPORARY WAGES,"74,383.05",ACTUALS,,"2,015"
250,0460,2501307,250,Information Technology,53040013,53,Materials and Supplies,REPAIR & MAINTENANCE PARTS,413.87,ACTUALS,,"2,015"
399,3501,3990603,399,Utilities,53160004,53,Materials and Supplies,UNIFORMS & EQUIPMENT,363.94,ACTUALS,,"2,015"
250,0460,2501502,250,Information Technology,53010007,53,Materials and Supplies,COMPUTER SUPPLIES,"30,025.60",ACTUALS,,"2,015"
001,0001,4500110,450,Fire,51010019,51,Personnel Services,EMPLOYEE INCENTIVE,"6,664.45",ACTUALS,,"2,015"
001,0001,4500402,450,Fire,51010007,51,Personnel Services,OVERTIME WAGES,"25,116.97",ACTUALS,,"2,015"
001,0001,1600402,160,Personnel,51040001,51,Personnel Services,EMPLOYER'S FICA EXPENSE,"23,085.58",ACTUALS,,"2,015"
511,0800,5112110,511,Airport,51070004,51,Personnel Services,RETIREMENT PENSION CONTRIB,"37,800.21",ACTUALS,,"2,015"
001,0001,2800401,280,Finance,53100007,53,Materials and Supplies,FIRE TRAINING MATERIAL,549.99,ACTUALS,,"2,015"
001,0001,1000110,100,Municipal Court,51040001,51,Personnel Services,EMPLOYER'S FICA EXPENSE,"10,883.10",ACTUALS,,"2,015"
399,3501,3990603,399,Utilities,51070003,51,Personnel Services,INDEMNITY ADMIN,175.74,ACTUALS,,"2,015"
250,0460,2501308,250,Information Technology,52370002,52,Professional Services,EMPLOYEE TRAVEL REIMBURSEMENT,"1,174.56",ACTUALS,,"2,015"
250,0460,2501401,250,Information Technology,53010009,53,Materials and Supplies,COMMUNICATIONS EQUIP AND SUPP,137.48,ACTUALS,,"2,015"
001,0001,4200101,420,Police,53040001,53,Materials and Supplies,JANITOR SUPPLIES,7.46,ACTUALS,,"2,015"
001,0001,1900203,190,City Clerk,51070002,51,Personnel Services,HMO ADMIN,3.30,ACTUALS,,"2,015"
330,0075,3300601,330,Public Works,51070001,51,Personnel Services,HEALTH AND WELFARE INSURANCE,"63,808.92",ACTUALS,,"2,015"
350,0455,3500313,350,General Services,51040001,51,Personnel Services,EMPLOYER'S FICA EXPENSE,"6,418.04",ACTUALS,,"2,015"
001,0001,5500314,550,Parks,51070002,51,Personnel Services,HMO ADMIN,50.38,ACTUALS,,"2,015"
399,3001,3990505,399,Utilities,51010004,51,Personnel Services,PART TIME & TEMPORARY WAGES,"20,271.65",ACTUALS,,"2,015"
020,0100,4200732,420,Police,51070003,51,Personnel Services,INDEMNITY ADMIN,589.71,ACTUALS,,"2,015"
001,0001,5800101,580,Development Services,51510004,51,Personnel Services,EMPLOYEE PARKING,"1,629.45",ACTUALS,,"2,015"
001,0001,5500110,550,Parks,52010028,52,Professional Services,MISCELLANEOUS SRVCS CONTRACTS,89.12,ACTUALS,,"2,015"
019,6140,2408000,240,Planning,52290016,52,Professional Services,CHARGEBACK-COLOR COPIES,2.10,ACTUALS,,"2,015"
001,0001,5800402,580,Development Services,53100001,53,Materials and Supplies,EDUCATIONAL & TRAINING,"1,248.12",ACTUALS,,"2,015"
001,0001,1900101,190,City Clerk,51040001,51,Personnel Services,EMPLOYER'S FICA EXPENSE,"1,612.96",ACTUALS,,"2,015"
001,0001,5500311,550,Parks,51510004,51,Personnel Services,EMPLOYEE PARKING,"11,510.61",ACTUALS,,"2,015"
039,0175,2503900,250,Information Technology,52010028,52,Professional Services,MISCELLANEOUS SRVCS CONTRACTS,"13,527.22",ACTUALS,,"2,015"
511,0800,5112303,511,Airport,51070001,51,Personnel Services,HEALTH AND WELFARE INSURANCE,"154,071.33",ACTUALS,,"2,015"
001,0001,5800202,580,Development Services,51070004,51,Personnel Services,RETIREMENT PENSION CONTRIB,"81,530.83",ACTUALS,,"2,015"
330,0075,3300110,330,Public Works,52280031,52,Professional Services,CHARGEBACK-OCWUT,"616,500.00",ACTUALS,,"2,015"
250,0460,2501204,250,Information Technology,53010009,53,Materials and Supplies,COMMUNICATIONS EQUIP AND SUPP,562.99,ACTUALS,,"2,015"
350,0455,3500312,350,General Services,53890002,53,Materials and Supplies,PURCHASE_DISCOUNT,"-4,509.44",ACTUALS,,"2,015"
003,2090,3305003,330,Public Works,54040004,54,Capital Purchase,TESTING,"16,587.50",ACTUALS,,"2,015"
020,0100,4200845,420,Police,51070001,51,Personnel Services,HEALTH AND WELFARE INSURANCE,"9,840.34",ACTUALS,,"2,015"
020,0100,4200101,420,Police,51010013,51,Personnel Services,SICK LEAVE,238.56,ACTUALS,,"2,015"
001,0001,5500514,550,Parks,52130001,52,Professional Services,MEMBERSHIPS,0.00,ACTUALS,,"2,015"
066,5100,5200330,520,Public Transportation,51070002,51,Personnel Services,HMO ADMIN,36.70,ACTUALS,,"2,015"
399,3501,3990604,399,Utilities,52100001,52,Professional Services,LICENSES,124.00,ACTUALS,,"2,015"
030,0150,4500402,450,Fire,54040025,54,Capital Purchase,ADMIN PAYMENTS TO PUB WORKS,"6,429.48",ACTUALS,,"2,015"
001,0001,3300803,330,Public Works,51070003,51,Personnel Services,INDEMNITY ADMIN,752.99,ACTUALS,,"2,015"
001,0001,4200623,420,Police,52340019,52,Professional Services,BUILDING MAINTENANCE,"6,792.86",ACTUALS,,"2,015"
330,0075,3301106,330,Public Works,52070007,52,Professional Services,NATURAL GAS,"2,488.86",ACTUALS,,"2,015"
001,0001,4200847,420,Police,52280019,52,Professional Services,CHARGEBACK-VEHICLE MAINTENANCE,"1,277.00",ACTUALS,,"2,015"
399,3501,3990101,399,Utilities,52370002,52,Professional Services,EMPLOYEE TRAVEL REIMBURSEMENT,-38.50,ACTUALS,,"2,015"
250,0460,2501304,250,Information Technology,51070004,51,Personnel Services,RETIREMENT PENSION CONTRIB,"26,948.78",ACTUALS,,"2,015"
399,3501,3990110,399,Utilities,52049001,52,Professional Services,EMPLOYEE TRAINING,"27,163.21",ACTUALS,,"2,015"
399,3001,3990506,399,Utilities,53890022,53,Materials and Supplies,OTHER SUPPLIES,"35,704.75",ACTUALS,,"2,015"
350,0455,3500101,350,General Services,51010001,51,Personnel Services,SALARIES AND WAGES,"10,283.02",ACTUALS,,"2,015"
330,0075,3300110,330,Public Works,51070001,51,Personnel Services,HEALTH AND WELFARE INSURANCE,"8,186.01",ACTUALS,,"2,015"
001,0001,4500303,450,Fire,51130001,51,Personnel Services,UNIFORM ALLOWANCE,"14,883.32",ACTUALS,,"2,015"
070,0350,4200107,420,Police,51010001,51,Personnel Services,SALARIES AND WAGES,"9,212.15",ACTUALS,,"2,015"
001,0001,3500110,350,General Services,51040001,51,Personnel Services,EMPLOYER'S FICA EXPENSE,"16,173.81",ACTUALS,,"2,015"
003,2050,3305501,330,Public Works,54040025,54,Capital Purchase,ADMIN PAYMENTS TO PUB WORKS,63.50,ACTUALS,,"2,015"
001,0001,3300902,330,Public Works,51070001,51,Personnel Services,HEALTH AND WELFARE INSURANCE,"46,976.25",ACTUALS,,"2,015"
330,0075,3300303,330,Public Works,53040031,53,Materials and Supplies,OTHER EQUIPMENT,"8,436.79",ACTUALS,,"2,015"
030,0150,4500301,450,Fire,51010007,51,Personnel Services,OVERTIME WAGES,"3,974.76",ACTUALS,,"2,015"
022,0121,4200731,420,Police,53040025,53,Materials and Supplies,SMALL TOOLS & MINOR EQUIP,907.20,ACTUALS,,"2,015"
001,0001,4200623,420,Police,53040001,53,Materials and Supplies,JANITOR SUPPLIES,7.46,ACTUALS,,"2,015"
399,3001,3990506,399,Utilities,53890002,53,Materials and Supplies,PURCHASE_DISCOUNT,-10.20,ACTUALS,,"2,015"
001,0001,0700201,070,Municipal Counselor,51070001,51,Personnel Services,HEALTH AND WELFARE INSURANCE,"13,826.60",ACTUALS,,"2,015"
001,0001,2400206,240,Planning,52550046,52,Professional Services,NEIGHBORHOOD SERVICE,"7,500.00",ACTUALS,,"2,015"
017,0503,4200731,420,Police,52370002,52,Professional Services,EMPLOYEE TRAVEL REIMBURSEMENT,"10,975.31",ACTUALS,,"2,015"
019,6970,3309200,330,Public Works,51010022,51,Personnel Services,SALARY ADJUSTMENTS,"13,231.16",ACTUALS,,"2,015"
060,0326,9801002,980,Non Departmental,52250001,52,Professional Services,ADVERTISING,945.00,ACTUALS,,"2,015"
003,2960,3305003,330,Public Works,52890001,52,Professional Services,OTHER SERVICES AND CHARGES,"2,461.98",ACTUALS,,"2,015"
001,0001,4200842,420,Police,53040013,53,Materials and Supplies,REPAIR & MAINTENANCE PARTS,685.20,ACTUALS,,"2,015"
399,3501,3990404,399,Utilities,53890002,53,Materials and Supplies,PURCHASE_DISCOUNT,-27.13,ACTUALS,,"2,015"
001,0001,5500415,550,Parks,53890004,53,Materials and Supplies,CLOTHING & OTHER,"1,050.28",ACTUALS,,"2,015"
399,3501,3990101,399,Utilities,51130004,51,Personnel Services,CAR ALLOWANCE,"1,508.93",ACTUALS,,"2,015"
370,0480,3990704,399,Utilities,51070003,51,Personnel Services,INDEMNITY ADMIN,97.69,ACTUALS,,"2,015"
019,6970,4209006,420,Police,51010001,51,Personnel Services,SALARIES AND WAGES,"56,202.48",ACTUALS,,"2,015"
330,0075,3300803,330,Public Works,51070003,51,Personnel Services,INDEMNITY ADMIN,"1,001.29",ACTUALS,,"2,015"
001,0001,0700602,070,Municipal Counselor,51070004,51,Personnel Services,RETIREMENT PENSION CONTRIB,"21,853.98",ACTUALS,,"2,015"
003,2107,3305003,330,Public Works,52044025,52,Professional Services,NON-CAPITAL ADMIN COST,963.34,ACTUALS,,"2,015"
001,0001,5200290,520,Public Transportation,52050008,52,Professional Services,PAYMENTS TO COTPA RIVER MOBIL,"672,068.00",ACTUALS,,"2,015"
003,2107,3305003,330,Public Works,54010001,54,Capital Purchase,LAND,120.00,ACTUALS,,"2,015"
003,2147,3305501,330,Public Works,54010001,54,Capital Purchase,LAND,-160.00,ACTUALS,,"2,015"
001,0001,5500311,550,Parks,52070001,52,Professional Services,ELECTRICITY,"204,084.59",ACTUALS,,"2,015"
001,0001,3300803,330,Public Works,52890001,52,Professional Services,OTHER SERVICES AND CHARGES,550.00,ACTUALS,,"2,015"
511,0800,5112301,511,Airport,51070004,51,Personnel Services,RETIREMENT PENSION CONTRIB,"6,684.19",ACTUALS,,"2,015"
001,0001,9800001,980,Non Departmental,52310001,52,Professional Services,PRINTING & BINDING,229.03,ACTUALS,,"2,015"
370,0480,3990703,399,Utilities,51070002,51,Personnel Services,HMO ADMIN,542.27,ACTUALS,,"2,015"
001,0001,0700402,070,Municipal Counselor,51070004,51,Personnel Services,RETIREMENT PENSION CONTRIB,"13,295.87",ACTUALS,,"2,015"
001,0001,4500203,450,Fire,52890001,52,Professional Services,OTHER SERVICES AND CHARGES,832.00,ACTUALS,,"2,015"
250,0460,2501308,250,Information Technology,53010009,53,Materials and Supplies,COMMUNICATIONS EQUIP AND SUPP,939.87,ACTUALS,,"2,015"
399,3001,3990504,399,Utilities,52340016,52,Professional Services,MACHINERY AND EQUIPMENT MTCE,"97,611.76",ACTUALS,,"2,015"
399,3501,3990110,399,Utilities,53160007,53,Materials and Supplies,MEDICAL SAFETY SUPPLIES,"2,968.50",ACTUALS,,"2,015"
330,0075,3301101,330,Public Works,52280022,52,Professional Services,CHARGEBACK FUEL,"19,662.29",ACTUALS,,"2,015"
001,0001,4200108,420,Police,52280022,52,Professional Services,CHARGEBACK FUEL,"10,797.18",ACTUALS,,"2,015"
020,0100,4200621,420,Police,52280022,52,Professional Services,CHARGEBACK FUEL,"796,273.60",ACTUALS,,"2,015"
001,0001,4200621,420,Police,52400004,52,Professional Services,OFFICE EQUIPMENT RENTAL,"30,478.56",ACTUALS,,"2,015"
001,0001,5800401,580,Development Services,53010016,53,Materials and Supplies,NON-CAPITAL FURNITURE & FIXTUR,"4,391.50",ACTUALS,,"2,015"
