Fiscal Year,Account Type,Department,Division,Fund Description,Account Category,Account Description,Amount,,ORG_NAME,ORG_DESC,FUND,ACCT_CODE
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Other Services and Charges,Employee Parking,29478,,Administration,1000 - Administration,1010,9470
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Other Services and Charges,Computer Services-from IT,74923,,Administration,1000 - Administration,1010,9480
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Capital Outlays,Computer Equipment,10000,,Administration,1000 - Administration,1010,9805
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Personnel Services,Full Time Employees,468260,,Civil Litigation,2000 - Civil Litigation,1010,7020
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Personnel Services,Employers FICA,35805,,Civil Litigation,2000 - Civil Litigation,1010,7105
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Personnel Services,Hospitalization Insurance,86400,,Civil Litigation,2000 - Civil Litigation,1010,7110
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Personnel Services,Retiree Health Care-OPEB,58381,,Civil Litigation,2000 - Civil Litigation,1010,7115
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Personnel Services,Retirement Fund Contribution,107381,,Civil Litigation,2000 - Civil Litigation,1010,7120
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Personnel Services,Unemployment Compensation,651,,Civil Litigation,2000 - Civil Litigation,1010,7135
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Supplies,Supplies,18000,,Civil Litigation,2000 - Civil Litigation,1010,7520
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Supplies,Subscriptions and Publications,250,,Civil Litigation,2000 - Civil Litigation,1010,7910
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Other Services and Charges,Contractual Services,12000,,Civil Litigation,2000 - Civil Litigation,1010,8010
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Other Services and Charges,Fees,500,,Civil Litigation,2000 - Civil Litigation,1010,8240
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Other Services and Charges,Postage,500,,Civil Litigation,2000 - Civil Litigation,1010,8510
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Other Services and Charges,Professional Development,4000,,Civil Litigation,2000 - Civil Litigation,1010,9100
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Other Services and Charges,Other Travel & Training,3000,,Civil Litigation,2000 - Civil Litigation,1010,9110
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Other Services and Charges,Local Business Expense,500,,Civil Litigation,2000 - Civil Litigation,1010,9130
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Other Services and Charges,Memberships,2500,,Civil Litigation,2000 - Civil Litigation,1010,9150
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Other Services and Charges,Equipment Rentals or Lease,2000,,Civil Litigation,2000 - Civil Litigation,1010,9410
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Capital Outlays,Furniture,2000,,Civil Litigation,2000 - Civil Litigation,1010,9800
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Personnel Services,Full Time Employees,644085,,Municipal Affairs,3000 - Municipal Affairs,1010,7020
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Personnel Services,Employers FICA,49276,,Municipal Affairs,3000 - Municipal Affairs,1010,7105
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Personnel Services,Hospitalization Insurance,86400,,Municipal Affairs,3000 - Municipal Affairs,1010,7110
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Personnel Services,Retiree Health Care-OPEB,80328,,Municipal Affairs,3000 - Municipal Affairs,1010,7115
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Personnel Services,Retirement Fund Contribution,147693,,Municipal Affairs,3000 - Municipal Affairs,1010,7120
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Personnel Services,Unemployment Compensation,902,,Municipal Affairs,3000 - Municipal Affairs,1010,7135
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Supplies,Supplies,20000,,Municipal Affairs,3000 - Municipal Affairs,1010,7520
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Other Services and Charges,Contractual Services,35000,,Municipal Affairs,3000 - Municipal Affairs,1010,8010
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Other Services and Charges,Contract Employees-Temporary Services,46252,,Municipal Affairs,3000 - Municipal Affairs,1010,8011
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Other Services and Charges,Employee Phone Reimbursement,435,,Municipal Affairs,3000 - Municipal Affairs,1010,8505
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Other Services and Charges,Postage,200,,Municipal Affairs,3000 - Municipal Affairs,1010,8510
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Other Services and Charges,Professional Development,4000,,Municipal Affairs,3000 - Municipal Affairs,1010,9100
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Other Services and Charges,Other Travel & Training,2600,,Municipal Affairs,3000 - Municipal Affairs,1010,9110
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Other Services and Charges,Memberships,2500,,Municipal Affairs,3000 - Municipal Affairs,1010,9150
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Other Services and Charges,Equipment Rentals or Lease,2500,,Municipal Affairs,3000 - Municipal Affairs,1010,9410
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Personnel Services,Full Time Employees,355332,,Ordinance Enforcement,4000 - Ordinance Enforcement,1010,7020
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Personnel Services,Employers FICA,27183,,Ordinance Enforcement,4000 - Ordinance Enforcement,1010,7105
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Personnel Services,Hospitalization Insurance,72000,,Ordinance Enforcement,4000 - Ordinance Enforcement,1010,7110
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Personnel Services,Retiree Health Care-OPEB,44187,,Ordinance Enforcement,4000 - Ordinance Enforcement,1010,7115
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Personnel Services,Retirement Fund Contribution,81258,,Ordinance Enforcement,4000 - Ordinance Enforcement,1010,7120
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Personnel Services,Unemployment Compensation,489,,Ordinance Enforcement,4000 - Ordinance Enforcement,1010,7135
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Supplies,Supplies,12000,,Ordinance Enforcement,4000 - Ordinance Enforcement,1010,7520
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Other Services and Charges,Contractual Services,5000,,Ordinance Enforcement,4000 - Ordinance Enforcement,1010,8010
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Other Services and Charges,Fees,4500,,Ordinance Enforcement,4000 - Ordinance Enforcement,1010,8240
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Other Services and Charges,Police Witness Fees,3000,,Ordinance Enforcement,4000 - Ordinance Enforcement,1010,8260
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Other Services and Charges,Postage,975,,Ordinance Enforcement,4000 - Ordinance Enforcement,1010,8510
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Other Services and Charges,Professional Development,1000,,Ordinance Enforcement,4000 - Ordinance Enforcement,1010,9100
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Other Services and Charges,Memberships,1000,,Ordinance Enforcement,4000 - Ordinance Enforcement,1010,9150
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Other Services and Charges,Equipment Rentals or Lease,1800,,Ordinance Enforcement,4000 - Ordinance Enforcement,1010,9410
FY19,Expense,Authorities,Brownfield Redevelopment Authority,Brownfield Operations,Personnel Services,Full Time Employees,202490,,Administration,1000 - Administration,2430,7020
FY19,Expense,Authorities,Brownfield Redevelopment Authority,Brownfield Operations,Personnel Services,Employers FICA,15480,,Administration,1000 - Administration,2430,7105
FY19,Expense,Authorities,Brownfield Redevelopment Authority,Brownfield Operations,Personnel Services,Hospitalization Insurance,37584,,Administration,1000 - Administration,2430,7110
FY19,Expense,Authorities,Brownfield Redevelopment Authority,Brownfield Operations,Personnel Services,Retiree Health Care-OPEB,25034,,Administration,1000 - Administration,2430,7115
FY19,Expense,Authorities,Brownfield Redevelopment Authority,Brownfield Operations,Personnel Services,Retirement Fund Contribution,46035,,Administration,1000 - Administration,2430,7120
FY19,Expense,Authorities,Brownfield Redevelopment Authority,Brownfield Operations,Personnel Services,Unemployment Compensation,276,,Administration,1000 - Administration,2430,7135
FY19,Expense,Authorities,Brownfield Redevelopment Authority,Brownfield Operations,Supplies,Supplies,1150,,Administration,1000 - Administration,2430,7520
FY19,Expense,Authorities,Brownfield Redevelopment Authority,Brownfield Operations,Other Services and Charges,Contractual Services,27490,,Administration,1000 - Administration,2430,8010
FY19,Expense,Authorities,Brownfield Redevelopment Authority,Brownfield Operations,Other Services and Charges,Claims,9343,,Administration,1000 - Administration,2430,8450
FY19,Expense,Authorities,Brownfield Redevelopment Authority,Brownfield Operations,Other Services and Charges,Employee Phone Reimbursement,1050,,Administration,1000 - Administration,2430,8505
FY19,Expense,Authorities,Brownfield Redevelopment Authority,Brownfield Operations,Other Services and Charges,Postage,250,,Administration,1000 - Administration,2430,8510
FY19,Expense,Authorities,Brownfield Redevelopment Authority,Brownfield Operations,Other Services and Charges,"Internet Services, Etc.",720,,Administration,1000 - Administration,2430,8520
FY19,Expense,Authorities,Brownfield Redevelopment Authority,Brownfield Operations,Other Services and Charges,Transportation-Mileage Reimbursement,500,,Administration,1000 - Administration,2430,8610
FY19,Expense,Authorities,Brownfield Redevelopment Authority,Brownfield Operations,Other Services and Charges,Printing & Publishing,2000,,Administration,1000 - Administration,2430,9000
FY19,Expense,Authorities,Brownfield Redevelopment Authority,Brownfield Operations,Other Services and Charges,Professional Development,4250,,Administration,1000 - Administration,2430,9100
FY19,Expense,Authorities,Brownfield Redevelopment Authority,Brownfield Operations,Other Services and Charges,Memberships,900,,Administration,1000 - Administration,2430,9150
FY19,Expense,Authorities,Brownfield Redevelopment Authority,Brownfield Operations,Other Services and Charges,Equipment Rentals or Lease,1800,,Administration,1000 - Administration,2430,9410
FY19,Expense,Authorities,Brownfield Redevelopment Authority,Brownfield Operations,Other Services and Charges,Buildings Rentals or Lease-Facility Mgmt,12438,,Administration,1000 - Administration,2430,9430
FY19,Expense,Authorities,Brownfield Redevelopment Authority,Brownfield Operations,Other Services and Charges,Employee Parking,4750,,Administration,1000 - Administration,2430,9470
FY19,Expense,Authorities,Brownfield Redevelopment Authority,Brownfield Operations,Other Services and Charges,Computer Services-from IT,10374,,Administration,1000 - Administration,2430,9480
FY19,Expense,Authorities,Brownfield Redevelopment Authority,Brownfield Operations,Debt Service,Principal,163000,,Administration,1000 - Administration,2430,9910
FY19,Expense,Authorities,Brownfield Redevelopment Authority,Brownfield Operations,Debt Service,Paying Agent Fees,73960,,Administration,1000 - Administration,2430,9930
FY19,Expense,Authorities,Brownfield Redevelopment Authority,Brownfield Operations,Other Financing,Operating Transfers-A87 Cost,34567,,Administration,1000 - Administration,2430,9952
FY19,Expense,Authorities,Brownfield Redevelopment Authority,Brownfield Revolving Loan Fund,Other Services and Charges,Community Promotion,570015,,Development Projects,2000 - Development Projects,2431,8800
FY19,Expense,Authorities,Brownfield Redevelopment Authority,Brownfield Operations,Other Services and Charges,Developer Proj TIR Reimbursement,5957451,,Development Projects,2000 - Development Projects,2430,9170
FY19,Expense,Authorities,Corridor Improvement Districts,Uptown Corridor Improvement District,Supplies,Supplies,15000,,Operations,2000 - Operations,7813,7520
FY19,Expense,Authorities,Corridor Improvement Districts,Uptown Corridor Improvement District,Other Services and Charges,Contractual Services,1000,,Operations,2000 - Operations,7813,8010
FY19,Expense,Authorities,Corridor Improvement Districts,Uptown Corridor Improvement District,Other Services and Charges,Administrative Services,5000,,Operations,2000 - Operations,7813,8030
