Fiscal Year,Account Type,Department,Division,Org Code,Org Description,Fund Code,Fund Description,Account Category,Account Code,Account Description,Amount
FY17,Expense,Adminitrative Services,Admin Services Support,1000,1000 - Administration,1010,General Fund Operating,Personal Services,7135,Unemployment Compensation,80
FY17,Expense,Design & Development,Economic Development,1000,1000 - Administration,2440,Economic Development,Other Services and Charges,9110,Other Travel & Training,2120
FY17,Expense,Design & Development,Building Inspections,1000,1000 - Administration,2490,Building Inspections,Other Services and Charges,9110,Other Travel & Training,3000
FY17,Expense,Facilities & Fleet Management,Facilities Management,1000,1000 - Administration,6310,Facilities Mgmt-Operating,Personal Services,7135,Unemployment Compensation,729
FY17,Expense,Police,Dispatch,1000,1000 - Administration,2610,Community Dispatch,Personal Services,7165,Shift Differential,17000
FY17,Expense,Design & Development,Economic Development,1000,1000 - Administration,2440,Economic Development,Supplies,7520,Supplies,2000
FY17,Expense,Public Services,Streets,1000,1000 - Administration,2030,Local Streets,Other Services and Charges,8400,Insurance Premiums,1392
FY17,Expense,Enterprise Services,Street Lighting,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,8450,Claims,15595
FY17,Expense,Design & Development,Planning,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,8450,Claims,15326
FY17,Expense,Design & Development,Economic Development,1000,1000 - Administration,2360,Property Management,Other Services and Charges,8450,Claims,1310
FY17,Expense,Design & Development,Downtown Improvement District,1000,1000 - Administration,2484,DDA Local Tax Increment,Other Services and Charges,8450,Claims,20724
FY17,Expense,Retirement Activities,City Retirement System Office,1000,1000 - Administration,7050,City Retirement System Office,Personal Services,7110,Hospitalization Insurance,49173
FY17,Expense,Design & Development,Code Compliance,1000,1000 - Administration,1010,General Fund Operating,Personal Services,7115,Retiree Health Care-OPEB,174599
FY17,Expense,Police,Dispatch,1000,1000 - Administration,2610,Community Dispatch,Personal Services,7115,Retiree Health Care-OPEB,259950
FY17,Expense,Enterprise Services,Water,1000,1000 - Administration,5910,Water Operations,Other Services and Charges,9340,Maintenance Service,3000
FY17,Expense,Facilities & Fleet Management,Fleet Management,1000,1000 - Administration,6610,Motor Equipment-Operating,Other Services and Charges,9430,Buildings Rentals or Lease-Facility Mgmt,380580
FY17,Expense,Public Services,Streets,1000,1000 - Administration,2020,Major Streets,Other Services and Charges,9440,Fleet Management Equipment Charges,1552270
FY17,Expense,Design & Development,Economic Development,1000,1000 - Administration,2440,Economic Development,Other Services and Charges,9450,311 Call Center Services,452
FY17,Expense,Comptroller,Comptroller,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9470,Employee Parking,7074
FY17,Expense,Fiscal Services,Fiscal Services,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9470,Employee Parking,12948
FY17,Expense,Comptroller,Comptroller,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9480,Computer Services-from IT,704628
FY17,Expense,Fiscal Services,Income Tax,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9480,Computer Services-from IT,210556
FY17,Expense,Design & Development,Code Compliance,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9480,Computer Services-from IT,208013
FY17,Revenue,Treasury,Treasurer,1000,1000 - Administration,1010,General Fund Operating,Charges for Services,6260,Service Fees-General,25300
FY17,Expense,Design & Development,Building Inspections,1000,1000 - Administration,2490,Building Inspections,Capital Outlays,9760,Equipment,19000
FY17,Revenue,Enterprise Services,Street Lighting,1000,1000 - Administration,1010,General Fund Operating,Charges for Services,6425,Electric Power Dist-Gas Aggregate,950000
FY17,Revenue,Enterprise Services,Water,1000,1000 - Administration,5910,Water Operations,Charges for Services,6431,Retail Metered Water Sales,34918555
FY17,Expense,Public Services,Streets,1000,1000 - Administration,2020,Major Streets,Other Financing,9951,Operating Trans Out-Subsidies,750000
FY17,Expense,Public Services,Streets,1000,1000 - Administration,2020,Major Streets,Other Financing,9952,Operating Transfers-A87 Cost,54945
FY17,Expense,Design & Development,Economic Development,1000,1000 - Administration,2360,Property Management,Other Financing,9952,Operating Transfers-A87 Cost,12172
FY17,Expense,Authorities,SmartZone LDFA,1000,1000 - Administration,2500,SmartZone LDFA,Other Financing,9952,Operating Transfers-A87 Cost,21989
FY17,Expense,Design & Development,Downtown Improvement District,1000,1000 - Administration,2510,DID-General,Other Financing,9952,Operating Transfers-A87 Cost,34242
FY17,Expense,Design & Development,Economic Development,1000,1000 - Administration,2530,DNR Properties,Other Financing,9952,Operating Transfers-A87 Cost,685
FY17,Expense,Facilities & Fleet Management,Fleet Management,1000,1000 - Administration,6610,Motor Equipment-Operating,Other Financing,9952,Operating Transfers-A87 Cost,232501
FY17,Expense,Technology & Change Management,Information Technology,1000,1000 - Administration,6800,Information Technology-Operating,Other Financing,9952,Operating Transfers-A87 Cost,99966
FY17,Revenue,Authorities,Corridor Improvement Districts,1000,1000 - Administration,7814,West Side Corridor Improvement District,Taxes,4020,Real Property Taxes,14277
FY17,Expense,Engineering,Engineering Services,1000,1000 - Administration,6220,Engineering Services,Supplies,7520,Supplies,93349
FY17,Expense,Facilities & Fleet Management,Facilities Management,1000,1000 - Administration,6310,Facilities Mgmt-Operating,Supplies,7520,Supplies,20000
FY17,Expense,Enterprise Services,Water,1000,1000 - Administration,5910,Water Operations,Supplies,7910,Subscriptions and Publications,3000
FY17,Expense,Design & Development,Economic Development,1000,1000 - Administration,2530,DNR Properties,Other Services and Charges,8010,Contractual Services,3500
FY17,Expense,Authorities,Downtown Development Authority,1000,1000 - Administration,2484,DDA Local Tax Increment,Other Services and Charges,8050,Subsidy,75000
FY17,Expense,Design & Development,Economic Development,1000,1000 - Administration,2360,Property Management,Other Services and Charges,8240,Fees,100
FY17,Expense,Design & Development,Economic Development,1000,1000 - Administration,2440,Economic Development,Other Services and Charges,8240,Fees,5200
FY17,Expense,Fiscal Services,Fiscal Services,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,8450,Claims,9960
FY17,Expense,Clerk's Office,Clerk,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,8450,Claims,10397
FY17,Expense,Design & Development,Code Compliance,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,8500,Telephone,13000
FY17,Expense,Facilities & Fleet Management,Facilities Management,1000,1000 - Administration,6310,Facilities Mgmt-Operating,Other Services and Charges,8500,Telephone,5702
FY17,Expense,Facilities & Fleet Management,Fleet Management,1000,1000 - Administration,6610,Motor Equipment-Operating,Other Services and Charges,8500,Telephone,2300
FY17,Expense,Treasury,Treasurer,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,8505,Employee Phone Reimbursement,951
FY17,Expense,Fire,Fire,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,8505,Employee Phone Reimbursement,885
FY17,Expense,Fiscal Services,Fiscal Services,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9100,Professional Development,2575
FY17,Expense,Facilities & Fleet Management,Fleet Management,1000,1000 - Administration,6610,Motor Equipment-Operating,Other Services and Charges,9110,Other Travel & Training,4000
FY17,Expense,Design & Development,Building Inspections,1000,1000 - Administration,2490,Building Inspections,Other Services and Charges,9130,Local Business Expense,1600
FY17,Expense,Public Services,Streets,1000,1000 - Administration,2030,Local Streets,Personal Services,7115,Retiree Health Care-OPEB,96410
FY17,Expense,Enterprise Services,Water,1000,1000 - Administration,5910,Water Operations,Other Services and Charges,9130,Local Business Expense,1000
FY17,Expense,Engineering,Engineering Services,1000,1000 - Administration,6220,Engineering Services,Other Services and Charges,9130,Local Business Expense,675
FY17,Expense,Public Services,Streets,1000,1000 - Administration,2030,Local Streets,Other Services and Charges,9150,Memberships,150
FY17,Expense,Engineering,Engineering Services,1000,1000 - Administration,6220,Engineering Services,Personal Services,7115,Retiree Health Care-OPEB,123728
FY17,Expense,Facilities & Fleet Management,Fleet Management,1000,1000 - Administration,6610,Motor Equipment-Operating,Other Services and Charges,9150,Memberships,3600
FY17,Expense,Technology & Change Management,Information Technology,1000,1000 - Administration,6800,Information Technology-Operating,Other Services and Charges,9150,Memberships,1250
FY17,Expense,Public Services,Streets,1000,1000 - Administration,2030,Local Streets,Personal Services,7120,Retirement Fund Contribution,187988
FY17,Expense,Fiscal Services,Fiscal Services,1000,1000 - Administration,1010,General Fund Operating,Supplies,7520,Supplies,10000
FY17,Expense,Fiscal Services,Income Tax,1000,1000 - Administration,1010,General Fund Operating,Supplies,7520,Supplies,63243
FY17,Expense,Human Resources,Human Resources,1000,1000 - Administration,1010,General Fund Operating,Supplies,7520,Supplies,30000
FY17,Expense,Adminitrative Services,Admin Services Support,1000,1000 - Administration,1010,General Fund Operating,Supplies,7520,Supplies,8000
FY17,Expense,Police,Police,1000,1000 - Administration,1010,General Fund Operating,Supplies,7520,Supplies,5000
FY17,Expense,Design & Development,Code Compliance,1000,1000 - Administration,1010,General Fund Operating,Supplies,7520,Supplies,40000
FY17,Revenue,Enterprise Services,Water,1000,1000 - Administration,5910,Water Operations,Other Financing Sources,6995,Operating Transfers-Misc,80000
FY17,Revenue,Enterprise Services,Environmental Services,1000,1000 - Administration,5900,Sewer Disposal Operations,Other Revenues,6761,Reimbursements,614115
FY17,Revenue,Authorities,Downtown Development Authority,1000,1000 - Administration,2483,DDA Non Tax Increment,Other Revenues,6886,Float Loan Repayments,50000
FY17,Revenue,Enterprise Services,Environmental Services,1000,1000 - Administration,5900,Sewer Disposal Operations,Other Revenues,6901,Miscellaneous Other Revenue,20000
FY17,Revenue,District Court,61st District Court,1000,1000 - Administration,7400,61st District Court,Other Financing Sources,6993,Operating Transfers-Capital Projects,1451064
FY17,Expense,Community Services,Parks and Recreation,1000,1000 - Administration,2080,Parks & Recreation,Personal Services,7110,Hospitalization Insurance,88634
FY17,Expense,Fiscal Services,Income Tax,1000,1000 - Administration,1010,General Fund Operating,Personal Services,7020,Full Time Employees,898115
FY17,Expense,Fire,Fire,1000,1000 - Administration,1010,General Fund Operating,Personal Services,7020,Full Time Employees,1042829
FY17,Expense,Design & Development,Planning,1000,1000 - Administration,1010,General Fund Operating,Personal Services,7020,Full Time Employees,169006
FY17,Expense,Design & Development,Code Compliance,1000,1000 - Administration,1010,General Fund Operating,Personal Services,7020,Full Time Employees,1449012
FY17,Expense,Executive Office,City Commission,1000,1000 - Administration,1010,General Fund Operating,Personal Services,7020,Full Time Employees,252567
FY17,Expense,Authorities,SmartZone LDFA,1000,1000 - Administration,2500,SmartZone LDFA,Personal Services,7020,Full Time Employees,101303
FY17,Expense,Police,Dispatch,1000,1000 - Administration,2610,Community Dispatch,Personal Services,7020,Full Time Employees,2394157
FY17,Expense,Community Services,Cemetery,1000,1000 - Administration,5020,Cemetery Operating,Personal Services,7020,Full Time Employees,43864
FY17,Expense,Enterprise Services,Parking,1000,1000 - Administration,5140,Parking Operating,Personal Services,7055,Time & One-half,1500
FY17,Expense,Enterprise Services,Water,1000,1000 - Administration,5910,Water Operations,Personal Services,7055,Time & One-half,500
